"","ROIs.region.","age.beta","CI_high","CI_low","p","p.corr","data"
"1","lh_bankssts_volume",-0.102276230599809,-0.0404895450470792,-0.164062916152538,0.00122113247280154,0.100132862769726,"Oslo"
"2","lh_caudalanteriorcingulate_volume",-0.0921715834328542,-0.0440956465816338,-0.140247520284075,0.000183685043416672,0.0150621735601671,"Oslo"
"3","lh_caudalmiddlefrontal_volume",-0.199067867917749,-0.132421138154601,-0.265714597680897,7.12443165518184e-09,5.84203395724911e-07,"Oslo"
"4","lh_cuneus_volume",-0.057563211390401,0.00780216742395478,-0.122928590204757,0.0842717313412001,6.91028196997841,"Oslo"
"5","lh_entorhinal_volume",0.0487318267800049,0.124270885250047,-0.026807231690037,0.20575770238513,16.8721315955807,"Oslo"
"6","lh_fusiform_volume",-0.0998279856856451,-0.0413774640718902,-0.1582785072994,0.000844859774836981,0.0692785015366325,"Oslo"
"7","lh_inferiorparietal_volume",-0.174722705907263,-0.115170725281172,-0.234274686533353,1.55640778685526e-08,1.27625438522131e-06,"Oslo"
"8","lh_inferiortemporal_volume",-0.128896077573699,-0.0709327929121367,-0.186859362235262,1.48560959697748e-05,0.00121819986952153,"Oslo"
"9","lh_isthmuscingulate_volume",-0.0757163889382827,-0.0205526992623,-0.130880078614265,0.00721645257987501,0.591749111549751,"Oslo"
"10","lh_lateraloccipital_volume",-0.101198640439612,-0.034581326450485,-0.167815954428738,0.00297398823541217,0.243867035303798,"Oslo"
"11","lh_lateralorbitofrontal_volume",-0.235974154486912,-0.176878577865885,-0.295069731107939,2.5006984961104e-14,2.05057276681053e-12,"Oslo"
"12","lh_lingual_volume",-0.0439596633254119,0.0164263870925755,-0.104345713743399,0.153365830960625,12.5759981387713,"Oslo"
"13","lh_medialorbitofrontal_volume",-0.0822334017359383,-0.0141410413383976,-0.150325762133479,0.0180941246542665,1.48371822164986,"Oslo"
"14","lh_middletemporal_volume",-0.195909175972136,-0.142274929657744,-0.249543422286529,1.9719661897431e-12,1.61701227558934e-10,"Oslo"
"15","lh_parahippocampal_volume",-0.0213980074930484,0.0457352125117324,-0.0885312274978293,0.531638266491581,43.5943378523097,"Oslo"
"16","lh_paracentral_volume",-0.10182274266488,-0.0296188091981543,-0.174026676131606,0.00584803605268499,0.479538956320169,"Oslo"
"17","lh_parsopercularis_volume",-0.179305984490608,-0.118925366579725,-0.239686602401491,9.20907080441787e-09,7.55143805962265e-07,"Oslo"
"18","lh_parsorbitalis_volume",-0.27747241727573,-0.207488658417496,-0.347456176133964,3.36275938987899e-14,2.75746269970077e-12,"Oslo"
"19","lh_parstriangularis_volume",-0.19096979629787,-0.122332324129489,-0.25960726846625,6.80174873208063e-08,5.57743396030611e-06,"Oslo"
"20","lh_pericalcarine_volume",-0.033556695494132,0.0475755006374565,-0.11468889162572,0.417148999522804,34.2062179608699,"Oslo"
"21","lh_postcentral_volume",-0.145499169662055,-0.0799977055904102,-0.2110006337337,1.53762752898491e-05,0.00126085457376763,"Oslo"
"22","lh_posteriorcingulate_volume",-0.138861516166335,-0.0791208299178184,-0.198602202414852,5.98021618548871e-06,0.000490377727210074,"Oslo"
"23","lh_precentral_volume",-0.175429764257228,-0.108761399664956,-0.242098128849499,3.44277411786849e-07,2.82307477665216e-05,"Oslo"
"24","lh_precuneus_volume",-0.164122861202225,-0.107439726754488,-0.220805995649961,2.06899380468542e-08,1.69657491984205e-06,"Oslo"
"25","lh_rostralanteriorcingulate_volume",-0.108031023011238,-0.0530354241334081,-0.163026621889067,0.00012578762378413,0.0103145851502987,"Oslo"
"26","lh_rostralmiddlefrontal_volume",-0.234392136205352,-0.168945492248095,-0.299838780162609,5.72622418453514e-12,4.69550383131882e-10,"Oslo"
"27","lh_superiorfrontal_volume",-0.274949071745326,-0.218393618677741,-0.331504524812912,4.02616873314332e-20,3.30145836117752e-18,"Oslo"
"28","lh_superiorparietal_volume",-0.174898037466632,-0.11101970904663,-0.238776365886634,1.08444840213212e-07,8.89247689748336e-06,"Oslo"
"29","lh_superiortemporal_volume",-0.151907089264521,-0.0932238439221227,-0.210590334606919,4.92990093183575e-07,4.04251876410531e-05,"Oslo"
"30","lh_supramarginal_volume",-0.162628541362913,-0.107682332300574,-0.217574750425251,9.74529844488002e-09,7.99114472480162e-07,"Oslo"
"31","lh_frontalpole_volume",-0.181227380718941,-0.0878943427240654,-0.274560418713817,0.000157442137559999,0.0129102552799199,"Oslo"
"32","lh_temporalpole_volume",-0.00424692459684129,0.0827537202328123,-0.0912475694264949,0.923676832528267,75.7415002673179,"Oslo"
"33","lh_transversetemporal_volume",-0.148836060705711,-0.0796053992612321,-0.218066722150191,2.77447365736571e-05,0.00227506839903988,"Oslo"
"34","lh_insula_volume",-0.13003625452779,-0.0750351828923434,-0.185037326163236,4.15948031240308e-06,0.000341077385617052,"Oslo"
"35","rh_bankssts_volume",-0.0936320614266817,-0.0307936570473585,-0.156470465806005,0.00356561239501268,0.29238021639104,"Oslo"
"36","rh_caudalanteriorcingulate_volume",-0.0801236441345041,-0.0238702790532261,-0.136377009215782,0.0053225241090157,0.436446976939288,"Oslo"
"37","rh_caudalmiddlefrontal_volume",-0.239971448689574,-0.176215614701711,-0.303727282677437,4.61618246196001e-13,3.78526961880721e-11,"Oslo"
"38","rh_cuneus_volume",-0.118353538966309,-0.0594539632457049,-0.177253114686912,8.80503821122103e-05,0.00722013133320124,"Oslo"
"39","rh_entorhinal_volume",0.0915288593251014,0.165923415359755,0.017134303290448,0.0160061406046189,1.31250352957875,"Oslo"
"40","rh_fusiform_volume",-0.107115860893194,-0.0503061534213882,-0.163925568364999,0.000231444691627891,0.018978464713487,"Oslo"
