"","ROI","Z","p","ES_UKB","ES_MS","hemi","region","data"
"1","lh_caudalmiddlefrontal_volume",3.13166911767189,0.999130921766416,-0.195227791496145,-0.0806865301129618,"left","caudal middle frontal","Oslo"
"14","lh_frontalpole_volume",-1.52776390554549,0.0632855834643002,-0.0551390087652577,-0.131803855135809,"left","frontal pole","Oslo"
"2","lh_inferiorparietal_volume",7.30558335173952,0.999999999999862,-0.36247990397448,-0.140131067243247,"left","inferior parietal","Oslo"
"3","lh_lateralorbitofrontal_volume",0.44194413060212,0.670735182366038,-0.209633422244541,-0.195392867306155,"left","lateral orbitofrontal","Oslo"
"4","lh_parsopercularis_volume",6.82184253271123,0.999999999995506,-0.320090395847145,-0.112531607896801,"left","pars opercularis","Oslo"
"5","lh_parsorbitalis_volume",-0.485609988272946,0.313621856666703,-0.241436483110583,-0.260266338179471,"left","pars orbitalis","Oslo"
"6","lh_parstriangularis_volume",5.52015737716333,0.999999983065191,-0.335044919110839,-0.140236785040688,"left","pars triangularis","Oslo"
"7","lh_postcentral_volume",7.8732449670607,0.999999999999998,-0.330909472028115,-0.0454078252903395,"left","postcentral","Oslo"
"8","lh_precuneus_volume",7.56860594212787,0.999999999999981,-0.338952117193131,-0.1028032655858,"left","precuneus","Oslo"
"9","lh_rostralanteriorcingulate_volume",-1.10149094062463,0.135341522605577,-0.137241581419334,-0.168909553989115,"left","rostral anterior cingulate","Oslo"
"10","lh_rostralmiddlefrontal_volume",4.90869051096878,0.999999541567322,-0.306951127661796,-0.135737143835387,"left","rostral middle frontal","Oslo"
"11","lh_superiorfrontal_volume",0.492694726487016,0.688885847812535,-0.263427729585402,-0.247932199282485,"left","superior frontal","Oslo"
"12","lh_superiorparietal_volume",6.3867594866143,0.999999999915281,-0.323710835826343,-0.104451066671032,"left","superior parietal","Oslo"
"13","lh_supramarginal_volume",8.78940097917882,1,-0.322023514979695,-0.0696617538796787,"left","supramarginal","Oslo"
"15","lh_transversetemporal_volume",2.08448872221716,0.981442132495156,-0.237597164945313,-0.163271061358306,"left","transverse temporal","Oslo"
"16","rh_caudalmiddlefrontal_volume",-0.570977178685781,0.284007556320602,-0.170551161102863,-0.190098815489972,"right","caudal middle frontal","Oslo"
"28","rh_frontalpole_volume",-0.695926940779832,0.24323729226752,-0.0660118659370668,-0.100401625148078,"right","frontal pole","Oslo"
"17","rh_inferiorparietal_volume",8.48434932988635,1,-0.357360745981698,-0.0917167508471982,"right","inferior parietal","Oslo"
"18","rh_lateralorbitofrontal_volume",0.947384359278197,0.828278520924432,-0.120908182795137,-0.0870575934155951,"right","lateral orbitofrontal","Oslo"
"19","rh_parsopercularis_volume",3.92910644900484,0.999957368953619,-0.273676702869769,-0.15822014822959,"right","pars opercularis","Oslo"
"20","rh_parsorbitalis_volume",-0.883388830446398,0.188513111780984,-0.230582070361426,-0.266458437714902,"right","pars orbitalis","Oslo"
"21","rh_parstriangularis_volume",5.47049623107466,0.999999977561137,-0.322690498573959,-0.155477235093601,"right","pars triangularis","Oslo"
"22","rh_postcentral_volume",7.40862877104137,0.999999999999936,-0.302766741690375,-0.0302277197942599,"right","postcentral","Oslo"
"23","rh_precuneus_volume",6.81573858395088,0.999999999995311,-0.311589678172699,-0.0884776337759526,"right","precuneus","Oslo"
"24","rh_rostralmiddlefrontal_volume",5.55383432638204,0.999999986026481,-0.291973441559646,-0.101269228742675,"right","rostral middle frontal","Oslo"
"25","rh_superiorfrontal_volume",-0.866496392054317,0.193109002038053,-0.239460956687954,-0.26712413432692,"right","superior frontal","Oslo"
"26","rh_superiorparietal_volume",6.88378185594309,0.999999999997086,-0.309441444711721,-0.0620484158962775,"right","superior parietal","Oslo"
"27","rh_supramarginal_volume",9.08465480593483,1,-0.326874006297194,-0.0564012314126105,"right","supramarginal","Oslo"
"110","lh_caudalmiddlefrontal_volume",-4.59369633479125,2.17731463507136e-06,-0.195227791496145,-0.397585086034214,"left","caudal middle frontal","Bergen"
"141","lh_frontalpole_volume",-3.84233211179616,6.09353876069059e-05,-0.0551390087652577,-0.310113271556125,"left","frontal pole","Bergen"
"29","lh_inferiorparietal_volume",3.01617324135453,0.998720065212016,-0.36247990397448,-0.219385180915294,"left","inferior parietal","Bergen"
"31","lh_lateralorbitofrontal_volume",-0.4848816926615,0.31388013471534,-0.209633422244541,-0.234929297325324,"left","lateral orbitofrontal","Bergen"
"41","lh_parsopercularis_volume",-2.9199100411567,0.00175066220242343,-0.320090395847145,-0.451626306757756,"left","pars opercularis","Bergen"
"51","lh_parsorbitalis_volume",-2.53703221491019,0.00558983329714815,-0.241436483110583,-0.370867209172897,"left","pars orbitalis","Bergen"
"61","lh_parstriangularis_volume",-3.69095158810072,0.000111708330575569,-0.335044919110839,-0.521817931353101,"left","pars triangularis","Bergen"
"71","lh_postcentral_volume",3.61544091690173,0.99985008157201,-0.330909472028115,-0.180135513758517,"left","postcentral","Bergen"
"81","lh_precuneus_volume",1.48769295855342,0.931584057287572,-0.338952117193131,-0.270967782112514,"left","precuneus","Bergen"
"91","lh_rostralanteriorcingulate_volume",-1.11808882636289,0.131764529063499,-0.137241581419334,-0.191337077237797,"left","rostral anterior cingulate","Bergen"
"101","lh_rostralmiddlefrontal_volume",-5.14330734724765,1.3497172890873e-07,-0.306951127661796,-0.533007420574306,"left","rostral middle frontal","Bergen"
"111","lh_superiorfrontal_volume",-5.39203229798236,3.48326210178219e-08,-0.263427729585402,-0.46509013702503,"left","superior frontal","Bergen"
"121","lh_superiorparietal_volume",-0.504598499994424,0.306920431804332,-0.323710835826343,-0.347227892058832,"left","superior parietal","Bergen"
"131","lh_supramarginal_volume",1.80031963747117,0.964094909057414,-0.322023514979695,-0.247364211478289,"left","supramarginal","Bergen"
"151","lh_transversetemporal_volume",0.868899336394864,0.807548903714944,-0.237597164945313,-0.188738226727683,"left","transverse temporal","Bergen"
"161","rh_caudalmiddlefrontal_volume",-6.68179006698542,1.18020503467432e-11,-0.170551161102863,-0.441124921798399,"right","caudal middle frontal","Bergen"
"281","rh_frontalpole_volume",-4.15898057431345,1.59835540635141e-05,-0.0660118659370668,-0.331879726343594,"right","frontal pole","Bergen"
"171","rh_inferiorparietal_volume",3.27198487056569,0.999466023545858,-0.357360745981698,-0.215537608228776,"right","inferior parietal","Bergen"
"181","rh_lateralorbitofrontal_volume",-3.29058433922136,0.000499897629802277,-0.120908182795137,-0.296044123957291,"right","lateral orbitofrontal","Bergen"
"191","rh_parsopercularis_volume",-2.51543034852279,0.00594435829364895,-0.273676702869769,-0.381236738684974,"right","pars opercularis","Bergen"
"201","rh_parsorbitalis_volume",-4.2846687703368,9.15058195172393e-06,-0.230582070361426,-0.441257535396775,"right","pars orbitalis","Bergen"
"211","rh_parstriangularis_volume",-2.8479784383187,0.00219989526816874,-0.322690498573959,-0.442584075949346,"right","pars triangularis","Bergen"
"221","rh_postcentral_volume",2.20038512939655,0.986110209008401,-0.302766741690375,-0.204691492886603,"right","postcentral","Bergen"
"231","rh_precuneus_volume",0.553947109181255,0.710192478292075,-0.311589678172699,-0.283353130228215,"right","precuneus","Bergen"
"241","rh_rostralmiddlefrontal_volume",-4.99241020946356,2.98152190272382e-07,-0.291973441559646,-0.483790489391844,"right","rostral middle frontal","Bergen"
"251","rh_superiorfrontal_volume",-6.18248866621232,3.15494213394604e-10,-0.239460956687954,-0.476633948899022,"right","superior frontal","Bergen"
"261","rh_superiorparietal_volume",-0.319643495306596,0.374619299143325,-0.309441444711721,-0.326151787381849,"right","superior parietal","Bergen"
"271","rh_supramarginal_volume",3.00154262976357,0.998656922871563,-0.326874006297194,-0.203735778780956,"right","supramarginal","Bergen"
"112","lh_caudalmiddlefrontal_volume",-3.41821386617988,0.00031516777978292,-0.195227791496145,-0.296751783993904,"left","caudal middle frontal","combined"
"142","lh_frontalpole_volume",-3.70481845227818,0.000105771095191757,-0.0551390087652577,-0.205492185733483,"left","frontal pole","combined"
"210","lh_inferiorparietal_volume",6.45581034295208,0.999999999946179,-0.36247990397448,-0.188824511353716,"left","inferior parietal","combined"
"32","lh_lateralorbitofrontal_volume",-0.888671890518521,0.187089721132633,-0.209633422244541,-0.236634443889388,"left","lateral orbitofrontal","combined"
"42","lh_parsopercularis_volume",0.505872536345063,0.69352693342123,-0.320090395847145,-0.307036098083092,"left","pars opercularis","combined"
"52","lh_parsorbitalis_volume",-2.46352591013573,0.00687889756769022,-0.241436483110583,-0.321510921622624,"left","pars orbitalis","combined"
"62","lh_parstriangularis_volume",-0.273894172890396,0.392082974889983,-0.335044919110839,-0.343154511282275,"left","pars triangularis","combined"
"72","lh_postcentral_volume",6.24220495059303,0.999999999784277,-0.330909472028115,-0.14398592225904,"left","postcentral","combined"
"82","lh_precuneus_volume",4.78026163306995,0.99999912466392,-0.338952117193131,-0.205743161456714,"left","precuneus","combined"
"92","lh_rostralanteriorcingulate_volume",-2.16625029599567,0.0151460328108859,-0.137241581419334,-0.197370660126659,"left","rostral anterior cingulate","combined"
"102","lh_rostralmiddlefrontal_volume",-2.84403998971322,0.002227272836446,-0.306951127661796,-0.391245047883909,"left","rostral middle frontal","combined"
"113","lh_superiorfrontal_volume",-5.24058318752515,8.00349533616533e-08,-0.263427729585402,-0.403019784492602,"left","superior frontal","combined"
"122","lh_superiorparietal_volume",1.85388776073104,0.968122390357203,-0.323710835826343,-0.268238951452098,"left","superior parietal","combined"
"132","lh_supramarginal_volume",4.98045746904604,0.999999682829286,-0.322023514979695,-0.194225000194829,"left","supramarginal","combined"
"152","lh_transversetemporal_volume",1.62370891232287,0.947781025985558,-0.237597164945313,-0.185173567819676,"left","transverse temporal","combined"
"162","rh_caudalmiddlefrontal_volume",-6.96044733596661,1.69596972652361e-12,-0.170551161102863,-0.366680439679086,"right","caudal middle frontal","combined"
"282","rh_frontalpole_volume",-4.10789532479343,1.99640488605804e-05,-0.0660118659370668,-0.229471004841167,"right","frontal pole","combined"
"172","rh_inferiorparietal_volume",6.52399620062971,0.999999999965771,-0.357360745981698,-0.182174576741581,"right","inferior parietal","combined"
"182","rh_lateralorbitofrontal_volume",-3.76826230524838,8.21939572050139e-05,-0.120908182795137,-0.241923900146023,"right","lateral orbitofrontal","combined"
"192","rh_parsopercularis_volume",-0.550149776785366,0.291108323875969,-0.273676702869769,-0.287621742061082,"right","pars opercularis","combined"
"202","rh_parsorbitalis_volume",-4.39304461074147,5.58870899874006e-06,-0.230582070361426,-0.374387796124244,"right","pars orbitalis","combined"
"212","rh_parstriangularis_volume",-0.436816320482541,0.331122281012906,-0.322690498573959,-0.334145762635696,"right","pars triangularis","combined"
"222","rh_postcentral_volume",4.84056232749978,0.9999993526388,-0.302766741690375,-0.155345100839896,"right","postcentral","combined"
"232","rh_precuneus_volume",3.32406751284627,0.999556426417668,-0.311589678172699,-0.213882697255294,"right","precuneus","combined"
"242","rh_rostralmiddlefrontal_volume",-2.25665555876424,0.01201480291198,-0.291973441559646,-0.354377359644574,"right","rostral middle frontal","combined"
"252","rh_superiorfrontal_volume",-6.72385239311662,8.8490862145512e-12,-0.239460956687954,-0.41858682785474,"right","superior frontal","combined"
"262","rh_superiorparietal_volume",3.13548554460761,0.999142150581847,-0.309441444711721,-0.212828691892267,"right","superior parietal","combined"
"272","rh_supramarginal_volume",6.49776117099098,0.999999999959238,-0.326874006297194,-0.159961789452655,"right","supramarginal","combined"
