"","ROIs.region.","std.beta","CI_high","CI_low","p","region","hemi","p.corr"
"1","lh_bankssts_volume",-0.0172782517032189,0.00846558480696061,-0.0430220882133984,0.188273897354695,"bankssts","left",22.216319887854
"2","lh_caudalanteriorcingulate_volume",0.00350163497120052,0.0215392367545436,-0.0145359668121425,0.703279819477824,"caudal anterior cingulate","left",82.9870186983832
"3","lh_caudalmiddlefrontal_volume",-0.00725605499042865,0.0277324496175739,-0.0422445595984312,0.684055881437129,"caudal middle frontal","left",80.7185940095812
"4","lh_cuneus_volume",-0.0391512403969832,-0.00361749741089155,-0.0746849833830749,0.0310436402034052,"cuneus","left",3.66314954400181
"5","lh_entorhinal_volume",-0.0407049366204826,-0.00529696225053613,-0.076112910990429,0.0244576203482851,"entorhinal","left",2.88599920109764
"31","lh_frontalpole_volume",-0.0416271405447893,0.019775428757493,-0.103029709847072,0.183661778749734,"frontal pole","left",21.6720898924686
"6","lh_fusiform_volume",-0.0472151631752211,-0.0163870627699833,-0.078043263580459,0.00277885764229294,"fusiform","left",0.327905201790567
"7","lh_inferiorparietal_volume",-0.00422967559031832,0.0221448441504044,-0.030604195331041,0.7530007302878,"inferior parietal","left",88.8540861739605
"8","lh_inferiortemporal_volume",-0.046660560801874,-0.01556423568151,-0.077756885922238,0.0033743096873053,"inferior temporal","left",0.398168543102025
"34","lh_insula_volume",-0.0101676156029147,0.0162474795395737,-0.0365827107454031,0.450175934959916,"insula","left",53.1207603252701
"9","lh_isthmuscingulate_volume",-0.0113108157376729,0.0148563440706569,-0.0374779755460026,0.396503503569392,"isthmus cingulate","left",46.7874134211882
"10","lh_lateraloccipital_volume",-0.056965777164381,-0.0208516573442706,-0.0930798969844915,0.00206621971588624,"lateral occipital","left",0.243813926474576
"11","lh_lateralorbitofrontal_volume",-0.0179895845934362,0.0146630895698371,-0.0506422587567095,0.27987586039724,"lateral orbitofrontal","left",33.0253515268744
"12","lh_lingual_volume",-0.0450256396909638,-0.0146225583403245,-0.0754287210416031,0.00382681779367501,"lingual","left",0.451564499653652
